SITE_NUMBER	LATITUDE	LONGITUDE	ANPP	BIOME_TYPE	MANAGEMENT	ANNUAL_TEMPERATURE
65	31.1	-97.33	176.4	G	N	19.6
66	37.931	-122.673	260	G	N	12.31
67	37.931	-122.673	170	G	N	12.31
68	45.78	-110.78	148.5	G	N	2.9
69	44.46	-93.15	218.7	G	M	8.11
70	44.46	-93.15	336.15	G	M	8.11
71	44.46	-93.15	242.55	G	N	7.86
72	44.46	-93.15	341.1	G	M	7.86
73	44.65	-99.36	166.5	G	N	7
74	41.18	-104.9	NA	G	N	9
75	41.18	-104.9	NA	G	N	9
76	43.95	-101.87	111.9	G	N	7.19
77	46.9	-102.82	157.95	G	N	4.1
78	43.28	-89.37	76	G	N	8.69
79	38.88	-99.38	124	G	N	11.9
80	38.87	-99.38	163.35	G	N	11.62
81	37.4	-122.23	117.45	G	N	12.65
82	32.6	-106.75	66.75	G	N	14.15
83	42.442275	-85.330039	412.5	G	N	10
84	41.44406	-85.30978	235	G	M	10
85	42.485	-85.44217	169	G	M	10
86	41.44628	-85.31047	244	G	M	10
87	42.47353	-85.44742	102	G	M	10
88	34.98	-97.52	107.1	G	N	16.78
89	39.1	-96.53	181.5	G	N	13
90	39.2	-96.58	267.375	G	N	13
91	39.05	-96.53	495	G	N	13
92	41.55	-93.28	312	G	N	10.8
93	36.95	-96.55	155.55	G	N	15.04
94	35.3	-101.53	115.65	G	N	13.73
95	40.82	-104.77	77.4	G	N	7.66
96	31.48	-96.88	253	G	N	18.9
97	34.353	-106.882	35.19	G	N	13.2
98	34.353	-106.882	53.2272645	G	M	13.2
99	39.25	-121.28	219.6	G	N	16
100	39.25	-121.28	294.6375	G	M	16
101	40.827	-104.724	51.09545455	G	N	8.6
102	40.1397	-104.7542	61.83	G	N	8.6
103	45.5	-93.73	79.2	G	N	5.498630249
104	36.6	-99.58	166.5	G	N	14.3
105	36.6	-99.58	198.45	G	N	14.3
106	39.9	-100.98	68.6	G	N	11.6
107	43.175	-90.067	219.6	G	M	9.05
108	37.862	-122.524	330	G	N	12.41
109	37.862	-122.524	350	G	N	12.41
110	37.862	-122.524	120	G	N	12.41
111	37.86	-122.49	NA	G	N	12.16
112	42.3842	-72.2144	187.2	G	N	9.3
113	42.3842	-72.2144	226.35	G	M	9.3
114	43.07	-89.82	208.8	G	N	9.17
115	43.07	-89.82	278.1	G	N	9.17
116	9	-63	NA	G	M	25.9
117	9	-63	NA	G	M	25.9
118	-29.104139	26.17285	105.3	G	N	15.63
119	54.68	-113.47	NA	P	N	1.4
120	55.91	-98.42	NA	P	N	-3.9
121	45.4094	-75.5187	182.25	P	N	5.8
122	55.98	-112.52	NA	P	N	-0.2
123	52.03	5.83	255.285	P	N	8.421643965
124	52.03	5.83	112.05	P	N	8.421643965
125	52.03	5.83	306	P	N	8.421643965
126	56.97	82.6	143.55	P	N	0.53
127	54.64	-2.3	183.15	P	N	4.9
128	54.64	-2.3	249.75	P	N	4.7
129	54.64	-2.3	220.95	P	N	4.7
130	54.6908	-2.3639	178.65	P	N	4.9
131	54.64	-2.3	181.8	P	N	4.7
132	75.55	-84.67	36	T	N	-16.72392711
133	46.58	8.38	114.705	T	N	2.1
134	60.3	7.68	130.05	T	N	-1.8
135	60.3	7.68	77.85	T	N	-3
136	68.42	18.32	16.875	T	N	-1.4
137	68.42	18.32	27.79508439	T	M	-1.4
138	68.326	18.85386	121	T	N	-2.5
139	68.30028	18.85136	90	T	N	-0.6
140	68.3555	19.0475	NA	T	N	-0.6
141	40.05	-105.58	116.1	T	N	2.81
142	40.05	-105.58	96.3	T	N	2.81
143	68.63	-149.57	93.24	T	N	-10
144	68.63	-149.57	157.95	T	M	-10
145	39.48	110.18	55.075	Sh	N	6.7
146	39.49581	110.19739	109.75	Sh	N	7.02
147	39.48494	110.15328	59.55	Sh	N	7.02
148	39.48703	110.15175	5.75	Sh	M	7.02
149	38.1	-1.8	179.4	Sh	N	15.5
150	24.94	67.12	264.015	G	N	25.59
151	41.08	-113.08	77	Sh	N	9.47
152	41.08	-113.08	32	Sh	N	9.47
153	32.27	-109.22	64.45	Sh	N	17.04
154	43.82	111.79	61.4	G	N	3.38
155	6.33	-5.02	918	G	N	24.66
156	6.33	-5.02	639	G	N	24.66
157	6.33	-5.02	850.5	G	N	24.66
158	6.33	-5.02	936	G	N	24.66
159	24.33	83	426.15	G	M	23.2505484
160	24.33	83	524.925	G	M	23.2505484
161	24.33	83	414	G	M	23.2505484
162	39.25	-121.28	217.8	F	N	15
163	39.25	-121.28	200.7	F	N	15
164	39.25	-121.28	164.7	F	N	15
165	-9	-63	NA	G	M	25.9
166	-10.17	31.18	NA	F	N	20.3
167	78.9	-75.92	16.83	T	N	-15.94137014
168	60.3	7.68	191.25	T	N	-2.1
169	71.3	-156.67	59.85	T	N	-12.6
170	71.32	-156.63	NA	T	N	-12.6
171	68.63	-149.57	64.845	T	N	-10
172	68.63	-149.57	63	T	N	-10
173	55.91	-98.42	NA	P	N	-3.9
174	55.91	-98.42	NA	P	N	-3.9
175	55.91	-98.42	NA	P	N	-3.9
176	63.2897	75.4781	150.6612676	P	N	-4.48
177	56.8	82.8	353.3450704	P	N	0.63
